"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","sample_type"
"2022-08-25","2022_08_25_BLK20220825a",1,5,1,2747.61951,"sblank"
"2022-08-25","2022_08_25_BLK20220825b",1,5,1,2747.61951,"sblank"
"2022-08-25","2022_08_25_BLK20220825c",1,5,1,2747.61951,"sblank"
"2022-08-25","2022_08_25_BLK20220825d",1,5,1,2747.61951,"sblank"
"2022-08-29","2022_08_29_BLK202208291",1,5,1,2710.96074,"sblank"
"2022-08-29","2022_08_29_BLK202208292",1,5,1,2710.96074,"sblank"
"2022-08-29","2022_08_29_BLK202208293",1,5,1,2710.96074,"sblank"
"2022-09-26","2022_09_26_BLK2209261",1,5,1,2680.20874,"sblank"
"2022-09-26","2022_09_26_BLK2209262",1,5,1,2680.20874,"sblank"
"2022-09-26","2022_09_26_BLK2209263",1,5,1,2680.20874,"sblank"
"2022-09-26","2022_09_26_BLK2209264",1,5,1,2680.20874,"sblank"
"2022-10-01","2022_10_01_BLK2210011",1,5,1,2676.3639,"sblank"
"2022-10-01","2022_10_01_BLK2210012",1,5,1,2676.3639,"sblank"
"2022-10-01","2022_10_01_BLK2210013",1,5,1,2676.3639,"sblank"
"2022-10-01","2022_10_01_BLK2210014",1,5,1,2676.3639,"sblank"
"2022-10-06","2022_10_06_BLK2210061",1,5,1,2670.14385,"sblank"
"2022-10-06","2022_10_06_BLK2210062",1,5,1,2670.14385,"sblank"
"2022-10-08","2022_10_08_BLK2210081",1,5,1,2656.71902,"sblank"
"2022-10-08","2022_10_08_BLK2210082",1,5,1,2656.71902,"sblank"
"2022-10-26","2022_10_26_BLK2210261",1,5,1,2497.0961,"sblank"
"2022-10-26","2022_10_26_BLK2210262",1,5,1,2497.0961,"sblank"
"2022-11-04","2022_11_04_BLK2211041",1,5,1,1502.57538,"sblank"
"2022-11-04","2022_11_04_BLK2211042",1,5,1,1502.57538,"sblank"
"2022-11-04","2022_11_04_BLK2211043",1,5,1,1502.57538,"sblank"
"2022-11-05","2022_11_05_BLK2211051",1,5,1,1518.87885,"sblank"
"2022-11-05","2022_11_05_BLK2211052",1,5,1,1518.87885,"sblank"
"2022-11-05","2022_11_05_BLK2211053",1,5,1,1518.87885,"sblank"
"2022-11-07","2022_11_07_BLK2211071",1,5,1,1609.87435,"sblank"
"2022-11-07","2022_11_07_BLK2211072",1,5,1,1609.87435,"sblank"
"2022-11-07","2022_11_07_BLK2211073",1,5,1,1609.87435,"sblank"
"2022-11-10","2022_11_10_BLK22110101",1,5,1,1466.57186,"sblank"
"2022-11-10","2022_11_10_BLK2211102",1,5,1,1466.57186,"sblank"
"2022-11-10","2022_11_10b_BLK22110101",1,5,1,1467.69901,"sblank"
"2022-11-10","2022_11_10b_BLK22110102",1,5,1,1467.69901,"sblank"
"2022-11-10","2022_11_10b_BLK22110103",1,5,1,1467.69901,"sblank"
"2022-11-11","2022_11_11_BLK2211111",1,5,1,1451.43453,"sblank"
"2022-11-11","2022_11_11_BLK2211112",1,5,1,1451.43453,"sblank"
"2022-11-11","2022_11_11_BLK2211113",1,5,1,1451.43453,"sblank"
"2022-11-11","2022_11_11b_BLK2211111",1,5,1,1439.04874,"sblank"
"2022-11-11","2022_11_11b_BLK2211112",1,5,1,1439.04874,"sblank"
"2022-11-11","2022_11_11b_BLK2211113",1,5,1,1439.04874,"sblank"
"2022-11-12","2022_11_12_BLK2211121",1,5,1,1489.58776,"sblank"
"2022-11-12","2022_11_12_BLK2211122",1,5,1,1489.58776,"sblank"
"2022-11-12","2022_11_12_BLK2211123",1,5,1,1489.58776,"sblank"
"2022-11-14","2022_11_14_BLK2211141",1,5,1,1460.23798,"sblank"
"2022-11-14","2022_11_14_BLK2211142",1,5,1,1460.23798,"sblank"
"2023-01-02","2023_01_02_BLK2301021",1,5,1,1539.50963,"sblank"
"2023-01-02","2023_01_02_BLK2301022",1,5,1,1539.50963,"sblank"
"2023-01-02","2023_01_02_BLK2301023",1,5,1,1539.50963,"sblank"
"2023-01-06","2023_01_06_BLK2301061",1,5,1,1499.25617,"sblank"
"2023-01-06","2023_01_06_BLK2301062",1,5,1,1499.25617,"sblank"
"2023-01-09","2023_01_09_BLK2301091",1,5,1,1505.24547,"sblank"
"2023-01-09","2023_01_09_BLK2301092",1,5,1,1505.24547,"sblank"
"2023-02-23","2023_02_23_BLK2302231",1,5,1,1674.38724,"sblank"
"2023-02-23","2023_02_23_BLK2302232",1,5,1,1674.38724,"sblank"
"2023-02-23","2023_02_23_BLK2302233",1,5,1,1674.38724,"sblank"
"2023-02-28","2023_02_28_BLK2302281",1,5,1,1549.21074,"sblank"
"2023-02-28","2023_02_28_BLK2302282",1,5,1,1549.21074,"sblank"
"2023-03-03","2023_03_03_BLK2303031",1,5,1,1419.21177,"sblank"
"2023-03-03","2023_03_03_BLK2303032",1,5,1,1419.21177,"sblank"
"2023-03-08","2023_03_08_BLK2303081",1,5,1,1400.61368,"sblank"
"2023-03-08","2023_03_08_BLK2303082",1,5,1,1400.61368,"sblank"
"2023-03-14","2023_03_14_BLK2303141",1,5,1,1408.43494,"sblank"
"2023-03-14","2023_03_14_BLK2303142",1,5,1,1408.43494,"sblank"
"2023-03-15","2023_03_15_BLK2303151",1,5,1,1560.56389,"sblank"
"2023-03-15","2023_03_15_BLK2303152",1,5,1,1560.56389,"sblank"
"2023-03-15","2023_03_15_BLK2303153",1,5,1,1560.56389,"sblank"
"2023-03-16","2023_03_16_BLK2303161",1,5,1,1392.04513,"sblank"
"2023-03-16","2023_03_16_BLK2303162",1,5,1,1392.04513,"sblank"
"2023-03-16","2023_03_16_BLK2303163",1,5,1,1392.04513,"sblank"
"2023-03-16","2023_03_16b_BLK2303161",1,5,1,1386.17864,"sblank"
"2023-03-16","2023_03_16b_BLK2303162",1,5,1,1386.17864,"sblank"
"2023-03-17","2023_03_17_BLK2303171",1,5,1,1683.02838,"sblank"
"2023-03-17","2023_03_17_BLK2303173",1,5,1,1683.02838,"sblank"
"2023-03-17","2023_03_17b_BLK2303171",1,5,1,1677.54753,"sblank"
"2023-03-17","2023_03_17b_BLK2303172",1,5,1,1677.54753,"sblank"
"2023-03-17","2023_03_17b_BLK2303173",1,5,1,1677.54753,"sblank"
"2023-03-20","2023_03_20_BLK2303201",1,5,1,1539.00247,"sblank"
"2023-03-20","2023_03_20_BLK2303203",1,5,1,1539.00247,"sblank"
"2023-03-20","2023_03_20b_BLK2303201",1,5,1,1540.96053,"sblank"
"2023-03-20","2023_03_20b_BLK2303202",1,5,1,1540.96053,"sblank"
"2023-03-20","2023_03_20b_BLK2303203",1,5,1,1540.96053,"sblank"
"2023-03-21","2023_03_21_BLK2303211",1,5,1,1442.73408,"sblank"
"2023-03-21","2023_03_21_BLK2303212",1,5,1,1442.73408,"sblank"
"2023-03-21","2023_03_21_BLK2303213",1,5,1,1442.73408,"sblank"
"2023-06-12","2023_06_12_BLK2306121",1,5,1,1482.32302,"sblank"
"2023-06-12","2023_06_12_BLK2306122",1,5,1,1482.32302,"sblank"
"2023-06-12","2023_06_12_BLK2306123",1,5,1,1482.32302,"sblank"
"2023-06-12","2023_06_12b_BLK2306121",1,5,1,1471.31722,"sblank"
"2023-06-13","2023_06_13_BLK2306131",1,5,1,1440.23393,"sblank"
"2023-06-13","2023_06_13_BLK2306132",1,5,1,1440.23393,"sblank"
"2023-06-13","2023_06_13_BLK2306133",1,5,1,1440.23393,"sblank"
"2023-06-13","2023_06_13b_BLK2306131",1,5,1,1378.91317,"sblank"
"2023-06-14","2023_06_14_BLK2306141",1,5,1,1419.83331,"sblank"
"2023-06-14","2023_06_14_BLK2306142",1,5,1,1419.83331,"sblank"
"2023-06-14","2023_06_14_BLK2306143",1,5,1,1419.83331,"sblank"
"2023-06-14","2023_06_14b_BLK2306141",1,5,1,1422.90775,"sblank"
"2023-06-14","2023_06_14b_BLK2306142",1,5,1,1422.90775,"sblank"
"2023-06-14","2023_06_14b_BLK2306143",1,5,1,1422.90775,"sblank"
NA,"2023_06_15_BLK2306151",1,5,1,1413.68568,"sblank"
NA,"2023_06_15_BLK2306152",1,5,1,1413.68568,"sblank"
NA,"2023_06_15_BLK2306153",1,5,1,1413.68568,"sblank"
"2023-06-15","2023_06_15b_BLK2306151",1,5,1,1383.19564,"sblank"
"2023-06-15","2023_06_15b_BLK2306152",1,5,1,1383.19564,"sblank"
"2023-06-15","2023_06_15b_BLK2306153",1,5,1,1383.19564,"sblank"
"2023-06-18","2023_06_18_BLK2306181",1,5,1,1407.40442,"sblank"
"2023-07-14","2023_07_14_BLK2307141",1,5,1,1399.66793,"sblank"
"2023-07-14","2023_07_14_BLK2307142",1,5,1,1399.66793,"sblank"
"2023-07-14","2023_07_14_BLK2307143",1,5,1,1399.66793,"sblank"
"2023-09-12","2023_09_12_BLK2309121",1,5,1,1501.92319,"sblank"
"2023-09-12","2023_09_12_BLK2309122",1,5,1,1501.92319,"sblank"
"2023-09-12","2023_09_12_BLK2309123",1,5,1,1501.92319,"sblank"
"2023-09-13","2023_09_13_BLK2309131",1,5,1,1466.40498,"sblank"
"2023-09-13","2023_09_13_BLK2309132",1,5,1,1466.40498,"sblank"
"2023-09-13","2023_09_13b_BLK202309131",1,5,1,1505.8354,"sblank"
