"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","sample_type"
"2022-11-04","2022_11_04_preTea221104",1,5,1,1502.57538,"check"
"2022-11-04","2022_11_04_postTea221104",1,5,1,1502.57538,"check"
"2022-11-05","2022_11_05_preTea221105",1,5,1,1518.87885,"check"
"2022-11-05","2022_11_05_postTea221105",1,5,1,1518.87885,"check"
"2022-11-07","2022_11_07_preTea221107",1,5,1,1609.87435,"check"
"2022-11-07","2022_11_07_postTea221107",1,5,1,1609.87435,"check"
"2022-11-08","2022_11_08_preTea221108",1,5,1,1474.8708,"check"
"2022-11-10","2022_11_10_preTea221110",1,5,1,1466.57186,"check"
"2022-11-10","2022_11_10_postTea221110",1,5,1,1466.57186,"check"
"2022-11-10","2022_11_10b_preTea221110",1,5,1,1467.69901,"check"
"2022-11-10","2022_11_10b_postTea221110",1,5,1,1467.69901,"check"
"2022-11-11","2022_11_11_preTea221111",1,5,1,1451.43453,"check"
"2022-11-11","2022_11_11_postTea221111",1,5,1,1451.43453,"check"
"2022-11-11","2022_11_11b_preTea221111",1,5,1,1439.04874,"check"
"2022-11-11","2022_11_11b_postTea221111",1,5,1,1439.04874,"check"
"2023-01-02","2023_01_02_preTea230102",1,5,1,1539.50963,"check"
"2023-01-02","2023_01_02_postTea230102",1,5,1,1539.50963,"check"
"2023-01-06","2023_01_06_preTea230106",1,5,1,1499.25617,"check"
"2023-01-06","2023_01_06_postTea230106",1,5,1,1499.25617,"check"
"2023-01-09","2023_01_09_preTea230109",1,5,1,1505.24547,"check"
"2023-01-09","2023_01_09_postTea230109",1,5,1,1505.24547,"check"
"2023-02-16","2023_02_16_preTea230216",1,5,1,1413.85833,"check"
"2023-02-16","2023_02_16_postTea230216",1,5,1,1413.85833,"check"
"2023-02-23","2023_02_23_preTea230223",1,5,1,1674.38724,"check"
"2023-02-23","2023_02_23_postTea230223",1,5,1,1674.38724,"check"
"2023-02-28","2023_02_28_preTea230228",1,5,1,1549.21074,"check"
"2023-02-28","2023_02_28_postTea230228",1,5,1,1549.21074,"check"
"2023-03-03","2023_03_03_preTea230303",1,5,1,1419.21177,"check"
"2023-03-03","2023_03_03_postTea230303",1,5,1,1419.21177,"check"
"2023-03-08","2023_03_08_preTea230308",1,5,1,1400.61368,"check"
"2023-03-08","2023_03_08_postTea230308",1,5,1,1400.61368,"check"
"2023-03-14","2023_03_14_preTea230314",1,5,1,1408.43494,"check"
"2023-03-14","2023_03_14_postTea230314",1,5,1,1408.43494,"check"
"2023-03-15","2023_03_15_preTea230315",1,5,1,1560.56389,"check"
"2023-03-15","2023_03_15_postTea230315",1,5,1,1560.56389,"check"
"2023-03-16","2023_03_16_preTea230316",1,5,1,1392.04513,"check"
"2023-03-16","2023_03_16_postTea230316",1,5,1,1392.04513,"check"
"2023-03-16","2023_03_16b_preTea230316",1,5,1,1386.17864,"check"
"2023-03-17","2023_03_17_preTea230317",1,5,1,1683.02838,"check"
"2023-03-17","2023_03_17_postTea230317",1,5,1,1683.02838,"check"
"2023-03-17","2023_03_17b_preTea230317",1,5,1,1677.54753,"check"
"2023-03-17","2023_03_17b_postTea230317",1,5,1,1677.54753,"check"
"2023-03-20","2023_03_20_preTea230320",1,5,1,1539.00247,"check"
"2023-03-20","2023_03_20_postTea230320",1,5,1,1539.00247,"check"
"2023-03-20","2023_03_20b_preTea230320",1,5,1,1540.96053,"check"
"2023-03-20","2023_03_20b_postTea230320",1,5,1,1540.96053,"check"
"2023-03-21","2023_03_21_preTea230321",1,5,1,1442.73408,"check"
"2023-03-21","2023_03_21_postTea230321",1,5,1,1442.73408,"check"
"2023-03-24","2023_03_24b_preTea230324",1,5,1,1408.73271,"check"
"2023-03-24","2023_03_24b_postTea230324",1,5,1,1408.73271,"check"
"2023-06-12","2023_06_12_preTea230612",1,5,1,1482.32302,"check"
"2023-06-12","2023_06_12_postTea230612",1,5,1,1482.32302,"check"
"2023-06-12","2023_06_12b_preTea230612",1,5,1,1471.31722,"check"
"2023-06-13","2023_06_13_preTea230613",1,5,1,1440.23393,"check"
"2023-06-13","2023_06_13_postTea230613",1,5,1,1440.23393,"check"
"2023-06-13","2023_06_13b_preTea230613",1,5,1,1378.91317,"check"
"2023-06-14","2023_06_14_preTea230614",1,5,1,1419.83331,"check"
"2023-06-14","2023_06_14_postTea230614",1,5,1,1419.83331,"check"
"2023-06-14","2023_06_14b_preTea230614",1,5,1,1422.90775,"check"
"2023-06-14","2023_06_14b_postTea230614",1,5,1,1422.90775,"check"
NA,"2023_06_15_preTea230615",1,5,1,1413.68568,"check"
NA,"2023_06_15_postTea230615",1,5,1,1413.68568,"check"
"2023-06-15","2023_06_15b_preTea230615",1,5,1,1383.19564,"check"
"2023-06-15","2023_06_15b_postTea230615",1,5,1,1383.19564,"check"
"2023-06-17","2023_06_17_preTea",1,5,1,1638.43664,"check"
"2023-06-17","2023_06_17_postTea",1,5,1,1638.43664,"check"
"2023-06-18","2023_06_18_preTea230618",1,5,1,1407.40442,"check"
"2023-06-21","2023_06_21_preTea",1,5,1,1427.56427,"check"
"2023-06-21","2023_06_21_postTea",1,5,1,1427.56427,"check"
"2023-07-14","2023_07_14_preTea230714",1,5,1,1399.66793,"check"
"2023-07-14","2023_07_14_postTea230714",1,5,1,1399.66793,"check"
"2023-09-12","2023_09_12_preTea230912",1,5,1,1501.92319,"check"
"2023-09-12","2023_09_12_postTea230912",1,5,1,1501.92319,"check"
"2023-09-13","2023_09_13_preTea230913",1,5,1,1466.40498,"check"
"2023-09-13","2023_09_13_postTea230913",1,5,1,1466.40498,"check"
"2023-09-13","2023_09_13b_preTea20230913",1,5,1,1505.8354,"check"
"2023-09-13","2023_09_13b_postTea20230913",1,5,1,1505.8354,"check"
"2023-09-14","2023_09_14_preTea230914",1,5,1,1426.66072,"check"
NA,"2023_09_15_preTea20230915",1,5,1,1443.77233,"check"
NA,"2023_09_15_postTea230915",1,5,1,1443.77233,"check"
"2023-09-15","2023_09_15b_preTea230915b",1,5,1,1426.47116,"check"
"2023-09-15","2023_09_15b_postTea230915b",1,5,1,1426.47116,"check"
"2023-09-20","2023_09_20_preTea230920",1,5,1,2091.15216,"check"
"2023-09-20","2023_09_20_postTea230920",1,5,1,2091.15216,"check"
"2023-09-27","2023_09_27_preTea230927",1,5,1,1971.46333,"check"
"2023-09-27","2023_09_27_postTea230927",1,5,1,1971.46333,"check"
"2023-09-28","2023_09_28_preTea230928",1,5,1,1930.44467,"check"
"2023-09-28","2023_09_28_postTea230928",1,5,1,1930.44467,"check"
"2023-09-28","2023_09_28b_preTea230928",1,5,1,1899.13631,"check"
